filename,bert_precision_mean,bert_precision_std,bert_recall_mean,bert_recall_std,bert_f1_mean,bert_f1_std,rouge1_mean,rouge1_std,rouge2_mean,rouge2_std,rougeL_mean,rougeL_std,sentence_embedding_sim_mean,sentence_embedding_sim_std,gemini_score_mean,gemini_score_std
fiscal_note_20250801_090745_n30_rerank_k20.json,0.5535316864649454,0.3917305627897711,0.5766903956731161,0.4082574941338601,0.5647154649098715,0.39954029651720635,0.19641943972830567,0.15655389461564384,0.059212769642217104,0.07948170670939975,0.12989019286139178,0.11470191828431672,0.3250381325682004,0.23709544595141613,1.75,2.802528620133373
fiscal_note_20250801_090547_n25_rerank_k25.json,0.5612984051307043,0.3972919871281476,0.5848068644603094,0.41424090973655764,0.5726123551527659,0.40523224826574405,0.23194701606949733,0.1858442182273968,0.0788417496939021,0.08901484024966676,0.1357906932900646,0.10561130733685815,0.3684344341357549,0.27814281991630907,1.6666666666666667,2.173067468400883
fiscal_note_20250801_090816_n30_rerank_k25.json,0.5585067619880041,0.39530208167323216,0.5816728075345358,0.4118569886872616,0.5697456896305084,0.4032165680805653,0.22766185150156637,0.18222711643506645,0.07128948341805885,0.08480792289951926,0.1399527124572609,0.12464170656731166,0.35316526144742966,0.25613759899620964,1.8333333333333333,2.671869923646899
fiscal_note_20250801_090346_n15_rerank_k30.json,0.5574668645858765,0.39457671653044124,0.57987013955911,0.41045248019492053,0.5682408114274343,0.401998307420991,0.2063678597118304,0.16327433457017357,0.054339492713925575,0.07327572501703045,0.1218101423241118,0.10349085844609292,0.33781648427248,0.2571994214774845,1.5,1.8027756377319946
fiscal_note_20250801_090158_n15_rerank_k10.json,0.557052289446195,0.3941833125679301,0.5759206910928091,0.4077505722665164,0.5661088476578394,0.4004592004016922,0.2025095714897468,0.15774123744090907,0.0491870948784488,0.05835858250192926,0.12435588268595608,0.09921490353184358,0.33312511444091797,0.25000551245629454,1.1666666666666667,1.5723301886761005
fiscal_note_20250801_090615_n25_rerank_k30.json,0.5556621551513672,0.39315990899941683,0.5807298223177592,0.4111948495148861,0.5677731583515803,0.40171801450287814,0.20906342497031957,0.16846263334951805,0.060310497387547214,0.06231099336840328,0.12344422259483571,0.0973493486110502,0.3387596507867177,0.2509482616362823,1.5833333333333333,1.9346977943739831
fiscal_note_20250801_090448_n25_rerank_k15.json,0.5562665909528732,0.39348938104175785,0.5762059638897578,0.4078786406637961,0.5659103939930598,0.4002867423089496,0.202403061261013,0.15356375685383153,0.04545008134495188,0.04982481244622627,0.11862459198020554,0.09073389319918171,0.35140981276830036,0.2553620006298097,1.4166666666666667,2.3614378858841256
fiscal_note_20250801_090718_n30_rerank_k15.json,0.5553351193666458,0.39303567665386374,0.5791273365418116,0.4100054115837761,0.5668229113022486,0.4010608674957651,0.2172442275341111,0.1725349145723572,0.06206923925374578,0.07986378263415912,0.13834827289395005,0.11915538010253723,0.3276067202289899,0.24361246867666386,1.6666666666666667,2.7182510717166815
fiscal_note_20250801_090420_n25_rerank_k10.json,0.5590622276067734,0.39564301056078666,0.5736310034990311,0.4060652904367945,0.566108708580335,0.40052765217341557,0.2066386085065919,0.16286582812032072,0.04097568091368656,0.059585768683352885,0.13225565457809332,0.1006748029934143,0.29906178265810013,0.2208154495721851,1.5833333333333333,2.660148283252061
fiscal_note_20250801_090225_n15_rerank_k15.json,0.5586272726456324,0.39536650038062976,0.5803810755411783,0.4109944025514555,0.5690498054027557,0.4025890899498189,0.2079467362580182,0.16271003021211253,0.05248583315733905,0.0600384677732248,0.12699919157721312,0.10285587357802749,0.33269253373146057,0.25856458508231345,1.3333333333333333,1.649915822768611
fiscal_note_20250801_090844_n30_rerank_k30.json,0.5610420654217402,0.3970404016745649,0.585105170806249,0.41438915258867703,0.5726039459307989,0.4051440609884029,0.22855165418233417,0.18162345926501883,0.08234934696215242,0.07943881368983953,0.13430806918505464,0.10635130659217436,0.3505868340531985,0.25929561382825983,1.75,2.1262251370288454
fiscal_note_20250801_090648_n30_rerank_k10.json,0.5533600399891535,0.3915144606710238,0.5743667831023535,0.4067811017877419,0.5635652641455332,0.39881922303779965,0.19213993406545737,0.1573701052737017,0.04817265793198413,0.07802517167901908,0.12606536189081882,0.11050628518353259,0.3110406994819641,0.22812832949620968,1.75,2.802528620133373
fiscal_note_20250801_090252_n15_rerank_k20.json,0.5587289730707804,0.39536018808797024,0.5814246733983358,0.41174915048108607,0.5695721010367075,0.40289411452834,0.21186469627722224,0.1663823913408327,0.05737822483832591,0.06204883989996658,0.13662308297249753,0.10817364181547247,0.3516732652982076,0.2688201993826501,1.75,2.0866640042581523
fiscal_note_20250731_172559.json,0.5566011915604273,0.3938883177141208,0.5756449997425079,0.4077032438720252,0.5656746874252955,0.400158039105479,0.20341909613891784,0.15977920484071614,0.04985856337659317,0.047865938610065585,0.1238332464999895,0.09396359584466785,0.30559469014406204,0.22519625304100754,1.5,2.3979157616563596
fiscal_note_20250801_090518_n25_rerank_k20.json,0.5548965334892273,0.39261013797853656,0.5782516201337179,0.4094088156849204,0.5661433587471644,0.40049882932277564,0.20828957379052657,0.16438499420491764,0.05293212198132843,0.05613510632767085,0.12051174473336194,0.09752447986731753,0.35188333690166473,0.26158977728671484,1.6666666666666667,2.0138409955990952
